epoch,train_loss,val_loss
0,3.874753475189209,3.234686533610026
1,3.818549871444702,3.234686533610026
2,3.8032312393188477,3.234686533610026
3,3.9479544162750244,3.234687407811483
4,3.8683664798736572,3.2346437772115073
5,3.8211634159088135,3.2345105012257895
6,3.7107412815093994,3.2347246011098227
7,3.662177562713623,3.2421833674112954
8,3.645270824432373,3.1851510206858316
9,3.672980785369873,3.1907400290171304
10,3.5391271114349365,3.177629311879476
11,3.5506339073181152,3.1322474479675293
12,3.628190755844116,3.1097524166107178
13,3.5256810188293457,3.0688298543294272
14,3.485236644744873,2.9815349181493125
15,3.343616247177124,3.166879097620646
16,3.3481497764587402,3.005371928215027
17,3.452597141265869,3.162818272908529
18,3.281528949737549,3.0797818899154663
19,3.2929749488830566,3.1846585273742676
20,3.2029130458831787,3.065484563509623
21,3.111213445663452,3.261721611022949
22,3.0556209087371826,3.170186201731364
23,3.0378165245056152,3.7400179306666055
24,3.2090671062469482,3.012073040008545
25,3.1114683151245117,3.1358675161997476
26,3.0975852012634277,3.077396889527639
27,3.02243971824646,3.606675903002421
28,3.182420253753662,3.0662566820780435
29,3.0558269023895264,3.7395593325297036
30,2.9554038047790527,3.218599001566569
31,2.781846523284912,3.6301118532816568
32,2.836182117462158,3.754806160926819
33,3.285954475402832,3.183948556582133
34,2.878696918487549,3.2846322059631348
35,2.7779743671417236,3.406377156575521
36,2.7553725242614746,3.53402841091156
37,2.7223238945007324,3.5826515356699624
38,2.6942358016967773,3.666854441165924
39,2.842780828475952,3.6438726584116616
40,3.0806448459625244,3.4471731980641684
41,2.8257102966308594,3.478335420290629
42,2.7064497470855713,3.517908255259196
43,2.668437957763672,3.78916597366333
44,2.7145445346832275,3.817441483338674
45,2.659248113632202,3.8689993421236673
46,2.65450382232666,3.801034688949585
47,2.691014528274536,3.9929794470469155
48,2.6833243370056152,3.9283299446105957
49,2.626652717590332,4.013671954472859
50,2.682265281677246,4.042810599009196
51,2.6865315437316895,4.0600911776224775
52,2.625490427017212,4.0840747356414795
53,2.6248819828033447,4.159357627232869
54,2.620783567428589,4.202471415201823
55,2.6314516067504883,4.166978319485982
56,2.6357181072235107,4.137448867162068
57,2.6247799396514893,4.326833764712016
58,2.633695363998413,4.346608956654866
59,2.6414835453033447,4.319282333056132
60,2.6264302730560303,4.244678338368733
61,2.6142172813415527,4.337062994639079
62,2.6144778728485107,4.376189390818278
63,2.6139028072357178,4.448530991872151
64,2.6119542121887207,4.451326767603557
65,2.6111209392547607,4.536422570546468
66,2.609644889831543,4.526054581006368
67,2.611727237701416,4.563707749048869
68,2.614262819290161,4.538346767425537
69,2.611736297607422,4.413698275883992
70,2.609402656555176,4.4285363753636675
71,2.6090002059936523,4.538925727208455
72,2.6101229190826416,4.539561589558919
73,2.6142120361328125,4.625063141187032
74,2.611450672149658,4.662527322769165
75,2.6094446182250977,4.707490881284078
76,2.60884690284729,4.683097402254741
77,2.6106653213500977,4.793663342793782
78,2.6170599460601807,4.646239876747131
79,2.619621753692627,4.64553705851237
80,2.60831618309021,4.723110278447469
81,2.607412815093994,4.699992934862773
82,2.6087872982025146,4.722253163655599
83,2.6084647178649902,4.7282824118932085
84,2.608759641647339,4.781120657920837
85,2.60746169090271,4.74625809987386
86,2.6116714477539062,4.828944206237793
87,2.6119494438171387,4.737000862757365
88,2.6217474937438965,5.086222092310588
89,2.637094736099243,4.922065099080403
90,2.6113874912261963,4.305891950925191
91,2.734771728515625,3.992866555849711
92,2.687504291534424,4.072498699029286
93,2.613997459411621,4.216192722320557
94,2.6078402996063232,4.33784677584966
95,2.6081111431121826,4.421317994594574
96,2.6057894229888916,4.4456355174382525
97,2.6075339317321777,4.533415079116821
98,2.6057679653167725,4.520726482073466
99,2.6056501865386963,4.61952801545461
100,2.606318235397339,4.568727254867554
101,2.6131656169891357,4.5549396276474
102,2.609086275100708,4.404425899187724
103,2.6068081855773926,4.688908418019612
104,2.60398268699646,4.57830289999644
105,2.604578971862793,4.6955626010894775
106,2.6043460369110107,4.681323885917664
107,2.604219675064087,4.738907376925151
108,2.603660821914673,4.731224338213603
109,2.603628396987915,4.798324664433797
110,2.603428840637207,4.791862408320109
111,2.6034467220306396,4.87231167157491
112,2.6033482551574707,4.840606212615967
113,2.6037814617156982,4.932038029034932
114,2.6036081314086914,4.853781421979268
115,2.6036245822906494,4.951153198877971
116,2.6032357215881348,4.918014049530029
117,2.6032419204711914,4.97297477722168
118,2.6031394004821777,4.953764796257019
119,2.6031270027160645,5.01977292696635
120,2.6030666828155518,4.989590843518575
121,2.603111743927002,5.0708171129226685
122,2.6031582355499268,5.00199826558431
123,2.6032960414886475,5.107649405797322
124,2.6034598350524902,5.006222565968831
125,2.603651285171509,5.1499634981155396
126,2.6035895347595215,5.001297434171041
127,2.603604793548584,5.131338198979695
128,2.6031076908111572,5.01694901784261
129,2.6031382083892822,5.119401852289836
130,2.6029701232910156,5.049056847890218
131,2.60298752784729,5.1275049050649
132,2.6028802394866943,5.076956033706665
133,2.60292387008667,5.144940257072449
134,2.602863311767578,5.098053773244222
135,2.602926015853882,5.166958848635356
136,2.6028988361358643,5.11523977915446
137,2.6030080318450928,5.193589806556702
138,2.602993965148926,5.122278054555257
139,2.603137731552124,5.213233908017476
140,2.6030614376068115,5.128314177195231
141,2.6031723022460938,5.220319191614787
142,2.6030948162078857,5.147045890490214
143,2.6031031608581543,5.225133856137593
144,2.6030192375183105,5.165949900945027
145,2.6030209064483643,5.232983589172363
146,2.602959156036377,5.180403192838033
147,2.603032112121582,5.247283736864726
