epoch,train_loss,val_loss,accuracy
0,3.9459261894226074,3.234686533610026,25.757575757575758
1,3.882915735244751,3.234686533610026,25.757575757575758
2,3.762633800506592,3.2346864541371665,43.93939393939394
3,3.938145637512207,3.2346851030985513,23.484848484848484
4,3.8782153129577637,3.2344631354014077,37.878787878787875
5,3.7602791786193848,3.2332659562428794,34.84848484848485
6,3.7294507026672363,3.223362445831299,34.84848484848485
7,3.8766446113586426,3.197693427403768,36.36363636363637
8,3.7672221660614014,3.1202632586161294,34.84848484848485
9,3.7039918899536133,3.047580043474833,41.66666666666667
10,3.6928787231445312,2.9657644033432007,46.21212121212121
11,3.5305025577545166,2.8880510131518045,50.0
12,3.490168571472168,2.8732908368110657,53.78787878787878
13,3.4918265342712402,2.9095094402631125,49.24242424242424
14,3.521836280822754,2.9227444728215537,52.27272727272727
15,3.36594295501709,2.7790030042330423,56.060606060606055
16,3.3294312953948975,2.801443040370941,57.57575757575758
17,3.3059072494506836,2.83161868651708,54.54545454545454
18,3.253872871398926,2.8788192669550576,54.54545454545454
19,3.3202741146087646,2.943194548288981,54.54545454545454
20,3.2148475646972656,2.7632041573524475,64.39393939393939
21,3.146590232849121,2.892840246359507,57.57575757575758
22,3.0881574153900146,2.792945643266042,63.63636363636363
23,3.157090425491333,2.920097053050995,53.78787878787878
24,3.109356164932251,2.8352255821228027,59.84848484848485
25,3.277923822402954,2.8456061085065207,62.121212121212125
26,3.162452459335327,2.933797558148702,60.60606060606061
27,2.9439516067504883,2.891501506169637,60.60606060606061
28,3.0123255252838135,2.846663554509481,61.36363636363637
29,2.8983662128448486,3.1719326178232827,56.81818181818182
30,2.8431124687194824,2.8935502568880715,60.60606060606061
31,3.013054847717285,2.8785195350646973,62.121212121212125
32,2.8315539360046387,2.968224028746287,62.878787878787875
33,2.8399088382720947,3.076036254564921,59.84848484848485
34,2.8687400817871094,3.162991464138031,59.09090909090909
35,2.8169565200805664,2.9722580711046853,63.63636363636363
36,2.7435266971588135,3.112541615962982,57.57575757575758
37,2.9062705039978027,3.2044597466786704,58.333333333333336
38,2.8538501262664795,2.9814239541689553,66.66666666666666
39,2.730893850326538,3.1940821011861167,62.878787878787875
40,2.731428861618042,3.2324249744415283,58.333333333333336
41,2.7014048099517822,3.2150636116663613,62.878787878787875
42,2.7398035526275635,3.1553962429364524,62.121212121212125
43,2.7500991821289062,3.3261547088623047,62.878787878787875
44,2.71774959564209,3.251617511113485,61.36363636363637
45,2.6879019737243652,3.4003235499064126,62.121212121212125
46,2.707047462463379,3.507472117741903,57.57575757575758
47,2.6983983516693115,3.471296032269796,61.36363636363637
48,2.736041784286499,3.44524884223938,64.39393939393939
49,2.725923776626587,3.4386967420578003,59.84848484848485
50,2.840869426727295,3.287046432495117,63.63636363636363
51,2.776299476623535,3.3911731839179993,59.84848484848485
52,2.6966772079467773,3.230509042739868,62.121212121212125
53,2.779320001602173,3.1994676192601523,62.878787878787875
54,2.701036214828491,3.3889843225479126,61.36363636363637
55,2.6881837844848633,3.4238306681315103,62.878787878787875
56,2.6998534202575684,3.760565678278605,62.121212121212125
57,2.718546152114868,3.3344677090644836,61.36363636363637
58,2.6955080032348633,3.4587698380152383,62.121212121212125
59,2.802485942840576,3.29241806268692,58.333333333333336
60,2.7034616470336914,3.3347051541010537,59.84848484848485
61,2.730113983154297,3.3294543822606406,64.39393939393939
62,2.676314353942871,3.5087380409240723,62.878787878787875
63,2.688993215560913,3.597850799560547,62.121212121212125
64,2.6737771034240723,3.611364761988322,63.63636363636363
65,2.6770529747009277,3.741840402285258,63.63636363636363
66,2.670175790786743,3.686905026435852,62.878787878787875
67,2.66768479347229,3.7081673542658486,62.878787878787875
68,2.670999050140381,3.6566274960835776,62.878787878787875
