               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11914,              0.0512,             0.02798,            0.017986,            0.059083,           0.0048777,           0.0014109,             0.11346,            0.021384,            0.015969,              0.0892,              0.0012,              0.0012
                   1,            0.094498,            0.025287,            0.011915,             0.25814,             0.45152,              0.2665,            0.088758,            0.074263,            0.027238,           0.0077568,            0.077492,           0.0024918,           0.0024918
                   2,            0.069514,            0.026044,             0.00695,             0.39949,             0.72211,             0.54379,             0.23256,            0.058948,            0.026678,           0.0045276,            0.065775,           0.0037749,           0.0037749
                   3,            0.068971,            0.023115,           0.0047951,             0.44212,             0.67407,             0.47712,             0.17835,            0.058078,            0.024831,           0.0036757,             0.05405,           0.0050495,           0.0050495
                   4,            0.079964,            0.020936,            0.003656,             0.31969,             0.67705,             0.38321,             0.12241,             0.06803,            0.023143,           0.0038103,            0.042316,           0.0063155,           0.0063155
                   5,            0.069359,             0.02143,           0.0036384,             0.47065,             0.58389,             0.52586,             0.21037,            0.062848,            0.023592,           0.0036245,            0.030573,            0.007573,            0.007573
                   6,            0.074164,            0.019458,            0.003788,             0.42056,              0.5087,             0.39921,             0.14784,            0.081412,            0.021144,            0.003556,            0.018822,           0.0088218,           0.0088218
                   7,            0.088133,            0.017346,           0.0039434,             0.37854,             0.65416,             0.50619,             0.16705,            0.072057,            0.020795,           0.0037085,            0.009769,            0.009769,            0.009769
                   8,              0.0772,            0.019124,           0.0045936,              0.3385,             0.61258,             0.50264,             0.18867,            0.080471,            0.020348,           0.0033515,            0.009769,            0.009769,            0.009769
                   9,             0.07409,             0.02095,            0.004449,             0.45497,             0.69149,             0.48619,             0.19192,            0.062749,            0.022093,           0.0046392,            0.009736,            0.009736,            0.009736
                  10,            0.072862,            0.018006,            0.004229,             0.27573,             0.62961,             0.34866,             0.13406,             0.08015,            0.021402,           0.0064724,            0.009703,            0.009703,            0.009703
                  11,             0.08516,            0.015923,           0.0047211,              0.3072,             0.60272,             0.37135,             0.16909,            0.077348,            0.020261,           0.0060808,             0.00967,             0.00967,             0.00967
                  12,            0.078761,            0.018806,           0.0038896,              0.3957,             0.65585,             0.50893,             0.21184,            0.065741,            0.021148,           0.0055491,            0.009637,            0.009637,            0.009637
                  13,             0.06524,            0.019758,           0.0034261,             0.49269,             0.63806,              0.5605,              0.2325,            0.065401,             0.02298,           0.0050949,            0.009604,            0.009604,            0.009604
                  14,            0.072439,            0.017976,           0.0037066,             0.40509,             0.59719,             0.45893,             0.16456,            0.076071,            0.020986,           0.0050919,            0.009571,            0.009571,            0.009571
                  15,            0.072181,             0.01618,           0.0049632,             0.43988,             0.71448,             0.56132,             0.26496,            0.057329,            0.019751,           0.0047796,            0.009538,            0.009538,            0.009538
                  16,            0.062986,            0.018028,           0.0038091,             0.40718,             0.58379,             0.47756,             0.20274,            0.064825,            0.019851,           0.0044934,            0.009505,            0.009505,            0.009505
                  17,            0.062092,            0.016797,           0.0038343,             0.42105,              0.7316,             0.61485,             0.27106,            0.054566,            0.020384,           0.0041359,            0.009472,            0.009472,            0.009472
                  18,            0.056746,            0.016375,           0.0030932,             0.59614,             0.66681,             0.70846,             0.29661,            0.059443,            0.019655,           0.0041654,            0.009439,            0.009439,            0.009439
                  19,            0.062239,            0.016686,           0.0031451,             0.47071,             0.81079,             0.67095,             0.28884,            0.054682,            0.018993,           0.0038204,            0.009406,            0.009406,            0.009406
                  20,            0.062106,            0.016973,           0.0032748,             0.47173,             0.71682,             0.59872,             0.23909,             0.05743,            0.018837,           0.0039395,            0.009373,            0.009373,            0.009373
                  21,            0.058392,            0.015219,           0.0028386,             0.48501,             0.63646,             0.59008,             0.28352,            0.052664,            0.019382,           0.0043391,             0.00934,             0.00934,             0.00934
                  22,             0.05354,            0.016233,            0.002979,             0.52062,             0.62873,             0.60008,             0.31225,            0.054931,            0.018731,           0.0044784,            0.009307,            0.009307,            0.009307
                  23,            0.054779,            0.016835,           0.0036496,             0.58935,             0.71153,              0.6728,             0.25115,            0.056112,            0.018178,           0.0042943,            0.009274,            0.009274,            0.009274
                  24,            0.058119,            0.015795,           0.0031606,             0.44312,             0.67024,             0.57669,              0.2451,            0.051925,            0.018366,           0.0043299,            0.009241,            0.009241,            0.009241
                  25,            0.048597,            0.015708,           0.0028219,             0.63713,              0.7047,             0.69998,             0.31128,            0.045884,            0.018252,           0.0036838,            0.009208,            0.009208,            0.009208
                  26,            0.046511,            0.015728,           0.0023827,             0.60808,              0.7073,             0.72614,             0.33904,            0.047627,            0.018393,           0.0035655,            0.009175,            0.009175,            0.009175
