run_name,f1_micro,f1_macro,accuracy,minibatch_stride,minibatch_length,ROI
run6,0.6666666666666666,0.6848185296846011,66.66666666666666,2,5,1.2
run7,0.6893939393939394,0.6800978013483917,68.93939393939394,2,5,1.5
run8,0.7878787878787878,0.787350884409708,78.78787878787878,2,5,1.8
run9,0.7727272727272727,0.7732030122655122,77.27272727272727,2,5,2.1
run10,0.6439393939393939,0.6282594417077175,64.39393939393939,2,7,1.2
run11,0.8333333333333334,0.8329794520547946,83.33333333333334,2,7,1.5
run12,0.7878787878787878,0.7916228991596639,78.78787878787878,2,7,1.8
run13,0.7121212121212122,0.7016922680758637,71.21212121212122,2,7,2.1
run14,0.6818181818181818,0.669748553512562,68.18181818181817,2,9,1.2
run15,0.6136363636363636,0.6209765724471606,61.36363636363637,2,9,1.5
run16,0.7045454545454546,0.7033127454611583,70.45454545454545,2,9,1.8
run17,0.6666666666666666,0.6662892316202078,66.66666666666666,2,9,2.1
run18,0.7348484848484848,0.7260575681628313,73.48484848484848,2,11,1.2
run19,0.6590909090909091,0.6435064935064936,65.9090909090909,2,11,1.5
run20,0.7348484848484848,0.7297795722111835,73.48484848484848,2,11,1.8
run21,0.696969696969697,0.693168378462496,69.6969696969697,2,11,2.1
run22,0.8106060606060606,0.8108857997615673,81.06060606060606,5,5,1.2
run23,0.6818181818181818,0.6679228151830892,68.18181818181817,5,5,1.5
run24,0.5984848484848485,0.5939083549623038,59.84848484848485,5,5,1.8
run25,0.7121212121212122,0.717662746610115,71.21212121212122,5,5,2.1
run26,0.6515151515151515,0.6536658166795153,65.15151515151516,5,7,1.2
run27,0.7575757575757576,0.7580793006857917,75.75757575757575,5,7,1.5
run28,0.6818181818181818,0.6862234685101485,68.18181818181817,5,7,1.8
run29,0.6742424242424242,0.673383752400908,67.42424242424242,5,7,2.1
run30,0.7575757575757576,0.7465595998204693,75.75757575757575,5,9,1.2
run31,0.7727272727272727,0.7664985726732164,77.27272727272727,5,9,1.5
run32,0.6363636363636364,0.6451619352259097,63.63636363636363,5,9,1.8
run33,0.75,0.7399941471222995,75.0,5,9,2.1
run34,0.6666666666666666,0.6518593858180208,66.66666666666666,5,11,1.2
run35,0.6818181818181818,0.6907185141816289,68.18181818181817,5,11,1.5
run36,0.6515151515151515,0.6482368662639184,65.15151515151516,5,11,1.8
run37,0.6818181818181818,0.6669217056726323,68.18181818181817,5,11,2.1
run38,0.7121212121212122,0.7214304650810484,71.21212121212122,10,5,1.2
run39,0.6590909090909091,0.6575346222405045,65.9090909090909,10,5,1.5
run40,0.6439393939393939,0.6517665130568356,64.39393939393939,10,5,1.8
run41,0.6060606060606061,0.6078945564239683,60.60606060606061,10,5,2.1
run42,0.6818181818181818,0.6747957993381818,68.18181818181817,10,7,1.2
run43,0.7121212121212122,0.7197234403116756,71.21212121212122,10,7,1.5
run44,0.6742424242424242,0.6669886337169053,67.42424242424242,10,7,1.8
run45,0.6590909090909091,0.655467720685112,65.9090909090909,10,7,2.1
run46,0.6287878787878788,0.6158991228070175,62.878787878787875,10,9,1.2
run47,0.6590909090909091,0.621964785151284,65.9090909090909,10,9,1.5
run48,0.5909090909090909,0.5699185215191311,59.09090909090909,10,9,1.8
run49,0.6515151515151515,0.6374357083295378,65.15151515151516,10,9,2.1
run50,0.6060606060606061,0.6097004635334154,60.60606060606061,10,11,1.2
run51,0.7272727272727273,0.7361176164454853,72.72727272727273,10,11,1.5
run52,0.5833333333333334,0.5642769154964277,58.333333333333336,10,11,1.8
run53,0.5909090909090909,0.5947215063135827,59.09090909090909,10,11,2.1
run54,0.7196969696969698,0.7193015899912452,71.96969696969697,20,5,1.2
run55,0.6515151515151515,0.6520733831433931,65.15151515151516,20,5,1.5
run56,0.6515151515151515,0.6254759733020603,65.15151515151516,20,5,1.8
run57,0.6212121212121212,0.6135982485808492,62.121212121212125,20,5,2.1
run58,0.6590909090909091,0.6596688307429995,65.9090909090909,20,7,1.2
run59,0.696969696969697,0.6833418584825235,69.6969696969697,20,7,1.5
run60,0.6439393939393939,0.6358208390125701,64.39393939393939,20,7,1.8
run61,0.6666666666666666,0.6558375234474729,66.66666666666666,20,7,2.1
run62,0.5984848484848485,0.5742013059404363,59.84848484848485,20,9,1.2
run63,0.6287878787878788,0.6125378787878788,62.878787878787875,20,9,1.5
run64,0.6136363636363636,0.6014951872756577,61.36363636363637,20,9,1.8
run65,0.696969696969697,0.6794954228421971,69.6969696969697,20,9,2.1
run66,0.6136363636363636,0.6141975308641976,61.36363636363637,20,11,1.2
run67,0.6439393939393939,0.623166863047222,64.39393939393939,20,11,1.5
run68,0.7121212121212122,0.6673462839377523,71.21212121212122,20,11,1.8
run69,0.6363636363636364,0.6136289365221218,63.63636363636363,20,11,2.1
run70,0.5909090909090909,0.5868553083626613,59.09090909090909,30,5,1.2
run71,0.6515151515151515,0.6562978884533144,65.15151515151516,30,5,1.5
run72,0.5909090909090909,0.6010987013823571,59.09090909090909,30,5,1.8
run73,0.5757575757575758,0.5796935778359927,57.57575757575758,30,5,2.1
run74,0.6287878787878788,0.6398069625474344,62.878787878787875,30,7,1.2
run75,0.5378787878787878,0.5258612261329653,53.78787878787878,30,7,1.5
run76,0.5606060606060606,0.5514848475789011,56.060606060606055,30,7,1.8
run77,0.6742424242424242,0.6789742778831963,67.42424242424242,30,7,2.1
run78,0.5378787878787878,0.548522555875497,53.78787878787878,30,9,1.2
run79,0.5984848484848485,0.6252909937436345,59.84848484848485,30,9,1.5
run80,0.5643564356435643,0.564561483508132,56.43564356435643,30,9,1.8
run81,0.6,0.588865864174718,60.0,30,9,2.1
run82,0.59,0.592842039563351,59.0,30,11,1.2
run83,0.52,0.5225220067062465,52.0,30,11,1.5
run84,0.6,0.5998015873015873,60.0,30,11,1.8
run85,0.67,0.6717781155015197,67.0,30,11,2.1
